cpc;qid;tipo;nom1;nom2;nac1;nac2;sex1;sex2;pais1;pais2;ciudad1;ciudad2;oficio1;oficio2;padre1;padre2;afil1;afil2;num_ent;alias
C15403;Q115734366;lago;Correga;Corregan Lake;-1000;0;m;;;;;;;;;;;lake in Manitoba, Canada;4;
C15403;Q22081038;fiume;Correga;Q22081038;-1000;0;m;;;;;;;;;;;river in Brazil;4;
C15403;Q22066534;fiume;Correga;Q22066534;-1000;0;m;;;;;;;;;;;river in Brazil;4;
C16331;Q3839529;umano;Luigi Costanzo;Luigi Costanzo;1875;1886;m;m;Italia;Italia|Regno d'Italia;Nicastro;Adami;orefice;insegnante di scuola superiore|sacerdote cattolico;Giuseppe;;socialista;sacerdote e insegnante italiano (1886-1958);4;
C16331;Q132485561;umano;Luigi Costanzo;Luigi Costanzo;1875;0;m;m;Italia;;Nicastro;;orefice;;Giuseppe;;socialista;(1914- );4;
C17857;Q61993429;umano;Giuseppe Curti;Giuseppe Curti;1894;1811;m;m;Italia;Svizzera;Reggio Emilia;Pambio Noranco;falegname;politico;Prospero;;comunista;insegnante e politico svizzero;2;
C17857;Q93071292;umano;Giuseppe Curti;Giuseppe Curti;1894;1560;m;m;Italia;;Reggio Emilia;;falegname;;Prospero;;comunista;;2;
D04530;Q3770449;umano;Giuseppe Del Rosso;Giuseppe del Rosso;1889;1760;m;m;Italia;Regno di Etruria;Bientina;Roma;falegname;architetto;Augusto;Zanobi;socialista;architetto italiano;2;Giuseppe del Rosso
D04530;Q112650387;umano;Giuseppe Del Rosso;Giuseppe Del Rosso;1889;1849;m;m;Italia;Regno d'Italia;Bientina;Cava de' Tirreni;falegname;;Augusto;;socialista;;2;
F00305;Q507123;umano;Fabio Fabi;Fabio Fabiani;1882;1974;m;m;Italia;Italia;Cingoli;Ravenna;muratore;pilota|pilota automobilistico|pilota motociclistico;Vincenzo;;repubblicano;pilota automobilistico italiano;5;
F00305;Q18811955;umano;Fabio Fabi;Fabio Fabiano;1882;1930;m;m;Italia;Italia;Cingoli;Padova;muratore;allenatore di pallacanestro;Vincenzo;;repubblicano;allenatore di pallacanestro italiano;5;
F00305;Q108201088;umano;Fabio Fabi;Fabio Fabiani;1882;1964;m;m;Italia;Italia;Cingoli;Massa;muratore;archeologo|professore universitario;Vincenzo;;repubblicano;archeologo italiano (1964-);5;
F00305;Q63487681;personaggio immaginario umano;Fabio Fabi;Fabio Fabiani;1882;0;m;m;Italia;;Cingoli;;muratore;;Vincenzo;;repubblicano;"operatic character in the opera The Armourer of Nantes by Michael William Balfe; count de Beauvoir";5;
F00305;Q130971156;pagina di disambiguazione di un progetto Wikimedia;Fabio Fabi;Fabio Fabiani;1882;0;m;;Italia;;Cingoli;;muratore;;Vincenzo;;repubblicano;pagina di disambiguazione di un progetto Wikimedia;5;
F01356;Q3619561;umano;Antonio Fantini;Antonio Fantini;1891;1936;m;m;Italia;Italia|Regno d'Italia;Miasino;Napoli;capomastro;politico;Pietro;;comunista;politico italiano;1;
F01813;Q179702;umano;Giovanni Fasano;papa Giovanni XVIII;1863;0;m;m;Italia;Stato Pontificio;Torino;Roma;;sacerdote cattolico|scrittore;Ludovico;;socialista;141° vescovo di Roma e papa della Chiesa cattolica dal 1004 al 1009;5;Giovanni Fasano
F01813;Q58303392;umano;Giovanni Fasano;Giovanni Fasano;1863;0;m;m;Italia;;Torino;;;ricercatore;Ludovico;;socialista;researcher, ORCID id # 0000-0002-5660-1054;5;
F01813;Q58438391;umano;Giovanni Fasano;Giovanni Fasano;1863;0;m;m;Italia;;Torino;;;ricercatore;Ludovico;;socialista;researcher ORCID ID = 0000-0003-4721-8114;5;
F01813;Q112524830;umano;Giorgio Fasano;Giorgio Fasano;1863;1960;m;m;Italia;;Torino;Torino;;matematico|scienziato;Ludovico;;socialista;scientist;5;
F05841;Q3732237;umano;Ernesto Fontana;Ernesto Fontana;1885;1830;m;m;Italia;Regno d'Italia;Piacenza;Milano;infermiere;sacerdote cattolico|vescovo cattolico;Francesco;;socialista;vescovo cattolico italiano (1830-1910);2;
F05841;Q26206466;umano;Ernesto Fontana;Ernesto Fontana;1885;1837;m;m;Italia;Svizzera|Regno d'Italia;Piacenza;Milano;infermiere;grafico|illustratore|pittore;Francesco;;socialista;grafico, illustratore e pittore italiano (1837-1918);2;
F06528;Q2413460;umano;Antonio Fortunat;Antonio Perini;1910;1830;m;m;Italia;Regno d'Italia;Volzana;Treviso;contadino|macellaio;fotografo;Francesco;;antifascista;fotografo italiano;10;Antonio Fortunato Perini
F06528;Q3619591;umano;Antonio Fortunat;Antonio Fortunato Stella;1910;1757;m;m;Italia;Repubblica di Venezia;Volzana;Venezia;contadino|macellaio;ambasciatore|editore|stampatore-libraio|tipografo;Francesco;;antifascista;tipografo e editore italiano (1757-1833);10;
F06528;Q100348263;umano;Antonio Fortunat;Antonio Fortunato;1910;1859;m;m;Italia;;Volzana;;contadino|macellaio;;Francesco;;antifascista;(1859-1951);10;
F06528;Q86690791;umano;Antonio Fortunat;Antonio Fortunato;1910;0;m;m;Italia;;Volzana;;contadino|macellaio;biochimico;Francesco;;antifascista;biochimico;10;
F06528;Q3619974;umano;Antonio Fortunat;Antonio Fortunato Oroboni;1910;1791;m;m;Italia;;Volzana;Fratta Polesine;contadino|macellaio;attivista politico;Francesco;;antifascista;patriota italiano;10;
F06528;Q3619589;umano;Antonio Fortunat;Antonio Fortunato;1910;1974;m;m;Italia;Italia;Volzana;Lagonegro;contadino|macellaio;militare;Francesco;;antifascista;militare italiano;10;
F06528;Q111795532;umano;Antonio Fortunat;Antonio Fortunato;1910;0;m;m;Italia;Italia;Volzana;;contadino|macellaio;ingegnere civile;Francesco;;antifascista;ingegnere civile italiano;10;
F06528;Q46272113;umano;Antonio Fortunat;Antonio E. Fortunato;1910;0;m;m;Italia;;Volzana;;contadino|macellaio;biologo;Francesco;;antifascista;biologo;10;Antonio Fortunato
F06528;Q4777559;umano;Antonio Fortunat;António Fortunato de Figueiredo;1910;1903;m;m;Italia;India|Dominion dell'India|Impero anglo-indiano;Volzana;Loutulim;contadino|macellaio;direttore d'orchestra;Francesco;;antifascista;Indian musician;10;
F06528;Q18481863;umano;Antonio Fortunat;António Fortunato de Pinho;1910;1874;m;m;Italia;Portogallo|Regno del Portogallo;Volzana;Albergaria-a-Velha;contadino|macellaio;avvocato|scrittore;Francesco;;antifascista;avvocato portoghese;10;
F07099;Q1442507;umano;Francesco Franchi;Frans Francken II;1897;1581;m;m;Italia;Paesi Bassi asburgici;Asola;Anversa;meccanico;pittore;Elpidio;Frans;antifascista;pittore e disegnatore fiammingo;9;Francesco Franchi
F07099;Q124734296;umano;Francesco Franchi;Francesco Franchi;1897;1902;m;m;Italia;Regno d'Italia;Asola;Teramo;meccanico;;Elpidio;;antifascista;avvocato e patriota italiano;9;
F07099;Q61997046;umano;Francesco Franchi;Francesco Franchi;1897;1982;m;m;Italia;Italia;Asola;;meccanico;giornalista;Elpidio;;antifascista;giornalista italiano;9;
F07099;Q106718212;umano;Francesco Franchi;Francesco Franchi;1897;1912;m;m;Italia;Regno d'Italia;Asola;Castegnato;meccanico;;Elpidio;;antifascista;condannato a morte durante la Seconda Guerra Mondiale;9;
F07099;Q15772404;umano;Francesco Franchi;Francesco Franchini;1897;1500;m;m;Italia;Regno di Napoli;Asola;Scigliano;meccanico;poeta|sacerdote cattolico|vescovo cattolico;Elpidio;;antifascista;umanista, poeta e vescovo cattolico italiano (1500-1559);9;
F07099;Q19670724;umano;Francesco Franchi;Francesco Franchini;1897;1805;m;m;Italia;Regno d'Italia;Asola;Pistoia;meccanico;politico;Elpidio;;antifascista;patriota e politico italiano (1805-1875);9;
F07099;Q16557220;umano;Francesco Franchi;Francesco Franchini;1897;1690;m;m;Italia;;Asola;Siena;meccanico;compositore|organista|presbitero;Elpidio;;antifascista;compositore, organista e presbitero italiano (1690-1757);9;
F07099;Q114409759;umano;Francesco Franchi;Francesco Franchimon;1897;0;m;;Italia;;Asola;;meccanico;ricercatore;Elpidio;;antifascista;researcher;9;
F07099;Q15772391;pagina di disambiguazione di un progetto Wikimedia;Francesco Franchi;Francesco Franchini;1897;0;m;;Italia;;Asola;;meccanico;;Elpidio;;antifascista;pagina di disambiguazione di un progetto Wikimedia;9;
G06899;Q24276237;umano;Maria Giudice;Maria Giudice;1880;1880;f;f;Italia;Italia|Regno d'Italia;Codevilla;Codevilla;maestra elementare;curatore editoriale|giornalista|insegnante|sindacalista;Ernesto;;socialista;giornalista, attivista politica e insegnante italiana (1880-1953);4;
G06899;Q115664723;umano;Maria Giudice;Maria Giudice;1880;0;f;f;Italia;Stati Uniti d'America;Codevilla;;maestra elementare;book designer|calligrafo|conferenziere|designer|dirigente d'azienda|impresario|information designer|scrittore|website designer;Ernesto;;socialista;American designer, design leader, writer;4;
G06899;Q61454326;umano;Maria Giudice;Maria Giudice;1880;1870;f;f;Italia;Portogallo;Codevilla;Lisbona;maestra elementare;cantante lirico;Ernesto;;socialista;Portuguese opera singer (1870–1953);4;
G06899;Q102280732;umano;Maria Giudice;Maria Giudice Caruson;1880;0;f;f;Italia;;Codevilla;;maestra elementare;cantante lirico;Ernesto;;socialista;mezzosoprano, soprano;4;Maria Giudice Caruson
M03874;Q120579322;umano;Ciro Marchetti;Ciro Marchetti;-1000;0;m;m;;;;;;;;;socialista;;2;
M03874;Q137018012;umano;Ciro Marchetti;Q137018012;-1000;0;m;m;;;;;;grafico;;;socialista;;2;
M05863;Q98105403;umano;Matteo Martelli;Matteo Martelli;1876;0;m;m;Italia;San Marino;Apricena;;studente;;Francesco;;socialista;;11;
M05863;Q35619853;umano;Matteo Martelli;Matteo Martelli;1876;0;m;m;Italia;San Marino;Apricena;;studente;politico;Francesco;;socialista;politico sammarinese;11;
M05863;Q133703079;umano;Matteo Martelli;Q133703079;1876;1980;m;m;Italia;;Apricena;Urbino;studente;filologo romanzo;Francesco;;socialista;;11;
M05863;Q136240842;umano;Matteo Martelli;Matteo Martelli;1876;1979;m;m;Italia;;Apricena;;studente;cestista;Francesco;;socialista;basketball player (born 1979);11;
M05863;Q133604730;umano;Matteo Martelli;Matteo Martelli;1876;1975;m;m;Italia;;Apricena;;studente;filologo classico|filosofo della scienza|storico della scienza;Francesco;;socialista;historian and philosopher of science;11;
M05863;Q139277028;pagina di disambiguazione di un progetto Wikimedia;Matteo Martelli;Q139277028;1876;0;m;;Italia;;Apricena;;studente;;Francesco;;socialista;pagina di disambiguazione di un progetto Wikimedia;11;
M05863;Q3839853;umano;Luigi Martelli;Luigi Martelli;1876;1917;m;m;Italia;Italia;Apricena;Livorno;studente;calciatore;Francesco;;socialista;calciatore italiano;11;
M05863;Q83617430;umano;Luigi Martelli;Luigi Martelli;1876;1804;m;m;Italia;;Apricena;Faenza;studente;intagliatore;Francesco;;socialista;incisore italiano;11;
M05863;Q3837550;umano;Luigi Martelli;Lou X;1876;1971;m;m;Italia;Italia;Apricena;Pescara;studente;rapper;Francesco;;socialista;rapper italiano;11;Luigi Martelli
M05863;Q98960128;umano;Luigi Martelli;Luigi Martellini;1876;1942;m;m;Italia;;Apricena;;studente;critico|poeta;Francesco;;socialista;critico letterario e poeta italiano;11;
P03805;Q83020157;umano;Raffaele Pastore;Raffaele Pastore;1881;0;m;;Italia;;Spinazzola;;contadino;ricercatore;Domenico;;comunista;researcher;4;
P03805;Q19833725;umano;Raffaele Pastore;Raffaele Pastore;1881;1881;m;m;Italia;Italia|Regno d'Italia;Spinazzola;Spinazzola;contadino;politico;Domenico;;comunista;politico italiano (1881-1969);4;
P03805;Q28004554;umano;Raffaele Pastore;Raffaele Pastore;1881;1961;m;m;Italia;Italia;Spinazzola;;contadino;personalità del mondo degli affari;Domenico;;comunista;imprenditore italiano;4;
P03805;Q28004561;pagina di disambiguazione di un progetto Wikimedia;Raffaele Pastore;Raffaele Pastore;1881;0;m;;Italia;;Spinazzola;;contadino;;Domenico;;comunista;pagina di disambiguazione di un progetto Wikimedia;4;
R06832;Q4000345;umano;Tullio Rossi;Tullio Rossi;1893;1903;m;m;Italia;Italia|Regno d'Italia;Follo;Roma;bracciante|muratore;architetto;Leopoldo;;comunista;architetto italiano (1903-1995);8;
R06832;Q4000344;umano;Tullio Rossi;Tullio Rossi;1893;1948;m;m;Italia;Italia;Follo;Roma;bracciante|muratore;ciclista;Leopoldo;;comunista;ciclista su strada italiano (1948-2025);8;
R06832;Q51300989;umano;Tullio Rossi;Tullio Rossi;1893;0;m;m;Italia;Italia;Follo;;bracciante|muratore;biologo marino;Leopoldo;;comunista;biologo marino;8;
R06832;Q133836737;umano;Tullio Rossi;Tullio Trotter;1893;1893;m;m;Italia;Regno d'Italia;Follo;Rovereto;bracciante|muratore;soldato;Leopoldo;;comunista;soldato nella prima guerra mondiale, laureato all'istituto Cesare Alfieri di Firenze;8;Tullio Rossi
R06832;Q121602674;personaggio letterario;Tullio Rossi;Tullio Rossi;1893;0;m;m;Italia;;Follo;;bracciante|muratore;;Leopoldo;;comunista;fictional character from Reign of the Seven Spellblades;8;
R06832;Q36691180;umano;Tullio Rossi;Tullio Rossi-Doria;1893;0;m;m;Italia;;Follo;;bracciante|muratore;botanico;Leopoldo;;comunista;botanist;8;
R06832;Q137145340;umano;Tullio Rossi;Q137145340;1893;0;m;;Italia;;Follo;;bracciante|muratore;;Leopoldo;;comunista;;8;
R06832;Q104213675;pagina di disambiguazione di un progetto Wikimedia;Tullio Rossi;Q104213675;1893;0;m;;Italia;;Follo;;bracciante|muratore;;Leopoldo;;comunista;pagina di disambiguazione di un progetto Wikimedia;8;
S10410;Q56561926;umano;Giovanni Stell;Giovanni Stellin;1862;0;m;m;Italia;;Muggia;;calderaio;ricercatore;Antonio;;comunista;researcher;3;
S10410;Q41618327;umano;Giovanni Stell;Giovanni Stella;1862;1370;m;m;Italia;;Muggia;;calderaio;cronista;Antonio;;comunista;cronista italiano;3;
S10410;Q93241978;umano;Giovanni Stell;Giovanni Stelli;1862;1941;m;m;Italia;;Muggia;Fiume;calderaio;filologo;Antonio;;comunista;filologo (1941-);3;
T01211;Q124129608;umano;Torquato Tassi;Torquato Tassi;1878;1879;m;m;Italia;;Sassoferrato;;muratore;;Giovanni;;socialista;sacerdote salesiano, musico (1879-1957);1;
T01520;Q111513325;umano;Francesco Tedeschi;Francesco Tedeschi;1904;1962;m;m;Italia;Italia;Capriolo;Milano;;critico d'arte|professore universitario|storico dell'arte;Pietro;;socialista;storico dell'arte italiano (1962-);3;
T01520;Q111513343;umano;Francesco Tedeschi;Francesco Tedeschi;1904;1970;m;m;Italia;Italia;Capriolo;Roma;;sacerdote cattolico|teologo;Pietro;;socialista;sacerdote e teologo italiano (1970- );3;
T01520;Q136241699;umano;Francesco Tedeschi;Francesco Tedeschini;1904;1977;m;m;Italia;;Capriolo;;;cestista;Pietro;;socialista;basketball player (born 1977);3;
T03936;Q88608764;umano;Angelo Torelli;Angelo Torelli;1893;0;m;;Italia;;Radicofani;;bracciante;ricercatore;Serafino;;comunista;researcher;2;
T03936;Q139274679;umano;Angelo Torelli;Q139274679;1893;1987;m;;Italia;;Radicofani;Barquisimeto;bracciante;;Serafino;;comunista;;2;
Z00745;Q139008655;umano;Ugo Zanchetta;Q139008655;1889;0;m;m;Italia;Italia;Pistoia;;architetto|deputato ex;architetto;Graziano;;antifascista;architetto -;1;
Z03298;Q131698868;umano;Luigi Zupancic;Luigi Zupancich;1902;1927;m;m;Yugoslavia;Italia;Smolenja Vas;San Giovanni;sarto;operatore culturale|sacerdote;Giovanni;;comunista;Slovene priest;1;Luigi Zupancich
D08096;Q64031837;umano;Giovanni Doz;Giovanni Dozzini;1860;1978;m;m;Italia;Italia;San Lorenzo del Pasenatico (Pola);Perugia;agricoltore;giornalista;Michele;;antifascista;scrittore e giornalista italiano;4;
D08096;Q59591764;umano;Giovanni Doz;Giovanni Dozio;1860;1798;m;m;Italia;;San Lorenzo del Pasenatico (Pola);Porchera;agricoltore;sacerdote cattolico|storico;Michele;;antifascista;sacerdote e storico italiano (1798-1863);4;
D08096;Q102280597;umano;Giovanni Doz;Giovanni Dozzio;1860;0;m;m;Italia;;San Lorenzo del Pasenatico (Pola);Milano;agricoltore;;Michele;;antifascista;;4;
D08096;Q125324188;umano;Giovanni Doz;Giovanni Dozzi;1860;0;m;m;Italia;Italia;San Lorenzo del Pasenatico (Pola);;agricoltore;architetto;Michele;;antifascista;Italian architect, active in Venetia;4;
F03402;Q116697887;umano;Romano Ferrari;Romano Ferrari Zumbini;1907;0;m;m;Italia;Italia;Pontelagoscuro;Parma;meccanico;professore universitario|storico|storico del diritto;Arturo;;comunista;storico del diritto, professore universitario;1;
E00564;Q74089525;umano;Francesco Esposito;Francesco Esposito;1892;0;m;m;Italia;;Pratola Serra;;fabbro;ricercatore;Giovanni;;antifascista;medical researcher;8;
E00564;Q41324516;umano;Francesco Esposito;Francesco Esposito;1892;0;m;m;Italia;;Pratola Serra;;fabbro;ricercatore;Giovanni;;antifascista;researcher (ORCID 0000-0001-7781-2558);8;
E00564;Q1441022;umano;Francesco Esposito;Francesco Esposito;1892;1955;m;m;Italia;Italia;Pratola Serra;Castellammare di Stabia;fabbro;canottiere;Giovanni;;antifascista;canottiere italiano;8;
E00564;Q102087169;umano;Francesco Esposito;Francesco Esposito;1892;0;m;m;Italia;;Pratola Serra;;fabbro;matematico;Giovanni;;antifascista;Ph.D. Università della Calabria 2020;8;
E00564;Q102343152;umano;Francesco Esposito;Francesco Esposito;1892;0;m;m;Italia;;Pratola Serra;;fabbro;;Giovanni;;antifascista;Ph.D. Università di Roma La Sapienza 2005;8;
E00564;Q116457719;umano;Francesco Esposito;Francesco Esposito;1892;1964;m;m;Italia;Italia;Pratola Serra;Napoli;fabbro;cantante|insegnante|musicologo;Giovanni;;antifascista;musicologo;8;
E00564;Q92082830;umano;Francesco Esposito;Francesco Esposito;1892;0;m;m;Italia;;Pratola Serra;;fabbro;ricercatore;Giovanni;;antifascista;researcher (ORCID 0000-0002-7709-5736);8;
E00564;Q90385280;umano;Francesco Esposito;Francesco Esposito;1892;0;m;m;Italia;;Pratola Serra;;fabbro;ricercatore;Giovanni;;antifascista;researcher (ORCID 0000-0002-8885-4873);8;
I00742;Q21587675;umano;Giuseppe Innocenti;Giuseppe Innocenti;1898;1868;m;m;Italia;Italia|Regno d'Italia;Pratovecchio;Roma;bracciante;politico;Cesare;;comunista;funzionario e politico italiano;3;
N02169;Q12026441;umano;Giuseppe Novak;Josip Franjo di Paola Nowak;1871;1767;m;m;Italia;Impero austriaco;Fiume;Semily;;sacerdote cattolico|vescovo cattolico;Giovanni;;antifascista;arcivescovo cattolico;1;Giuseppe Novak
S02574;Q124392215;umano;Francesco Sarti;Francesco Sarti;1881;0;m;;Italia;;Vergiate;;scalpellino;ricercatore;Isidoro;;socialista;author of 2015 doctoral thesis at University of Canterbury titled Seismic Design of Low-Damage Post-Tensioned Timber Wall Systems;2;
S02574;Q92062536;umano;Francesco Sarti;Francesco Sartini;1881;0;m;m;Italia;;Vergiate;;scalpellino;ricercatore;Isidoro;;socialista;researcher (ORCID 0000-0002-5116-8984);2;
R06448;Q5479551;umano;Francesco Rossi;Francesco Rossi;1906;1991;m;m;Italia;Italia;Trieste;Merate;studente universitario;calciatore;Gaetano;;repubblicano;calciatore italiano (1991-);20;
R06448;Q3750557;pagina di disambiguazione di un progetto Wikimedia per nomi di persona;Francesco Rossi;Francesco Rossi;1906;0;m;;Italia;;Trieste;;studente universitario;;Gaetano;;repubblicano;pagina di disambiguazione di un progetto Wikimedia;20;
R06448;Q16557390;umano;Francesco Rossi;Francesco Rossi;1906;1627;m;m;Italia;;Trieste;Bari;studente universitario;compositore|musicologo;Gaetano;;repubblicano;compositore italiano;20;
R06448;Q64745123;umano;Francesco Rossi;Francesco Rossi;1906;1863;m;m;Italia;Regno d'Italia;Trieste;;studente universitario;sacerdote cattolico|vescovo cattolico;Gaetano;;repubblicano;arcivescovo cattolico;20;
R06448;Q85696035;umano;Francesco Rossi;Francesco Rossi;1906;1983;m;m;Italia;Italia;Trieste;;studente universitario;matematico;Gaetano;;repubblicano;matematico italiano (1983-);20;
R06448;Q3750560;umano;Francesco Rossi;Francesco Rossi;1906;1827;m;m;Italia;Regno d'Italia;Trieste;Torino;studente universitario;archeologo|egittologo;Gaetano;;repubblicano;egittologo italiano;20;
R06448;Q3750563;umano;Francesco Rossi;Francesco Rossi;1906;1903;m;m;Italia;Italia|Regno d'Italia;Trieste;Milano;studente universitario;sacerdote cattolico|vescovo ausiliare|vescovo cattolico|vescovo titolare;Gaetano;;repubblicano;vescovo cattolico italiano (1903-1972);20;
R06448;Q102356782;umano;Francesco Rossi;Francesco Rossi;1906;0;m;m;Italia;;Trieste;;studente universitario;matematico;Gaetano;;repubblicano;Ph.D. Scuola Internazionale Superiore di Studi Avanzati 2009;20;
R06448;Q3750562;umano;Francesco Rossi;Francesco Rossi;1906;1966;m;m;Italia;Italia;Trieste;Torino;studente universitario;schermidore;Gaetano;;repubblicano;schermidore italiano;20;
R06448;Q100348335;umano;Francesco Rossi;Francesco Rossi;1906;0;m;m;Italia;;Trieste;;studente universitario;;Gaetano;;repubblicano;Italian music composer, active 1650-1725 in Milano;20;
R06448;Q106717773;umano;Francesco Rossi;Francesco Rossi;1906;1917;m;m;Italia;Regno d'Italia;Trieste;Minturno;studente universitario;;Gaetano;;repubblicano;condannato a morte durante la Seconda Guerra Mondiale;20;
R06448;Q10525576;umano;Francesco Rossi;Francesco Rossi;1906;1977;m;m;Italia;Italia;Trieste;Portogruaro;studente universitario;calciatore;Gaetano;;repubblicano;calciatore italiano nato nel 1977;20;
R06448;Q3750559;umano;Francesco Rossi;Francesco Rossi;1906;1974;m;m;Italia;Italia;Trieste;Milano;studente universitario;calciatore;Gaetano;;repubblicano;calciatore italiano nato nel 1974;20;
R06448;Q61481755;umano;Francesco Rossi;Francesco Rossi;1906;1766;m;m;Italia;;Trieste;Cinzano;studente universitario;chirurgo|fisico|matematico;Gaetano;;repubblicano;chirurgo (1766-1841);20;
R06448;Q55097533;umano;Francesco Rossi;Francesco Rossi;1906;1863;m;m;Italia;Italia|Regno d'Italia;Trieste;Sasso di Bordighera;studente universitario;politico;Gaetano;;repubblicano;politico italiano (1863-1948);20;
R06448;Q108170461;umano;Francesco Rossi;Francesco Rossi;1906;1983;m;m;Italia;Italia;Trieste;Feltre;studente universitario;germanista;Gaetano;;repubblicano;germanista italiano (1983-);20;
R06448;Q92723202;umano;Francesco Rossi;Francesco Rossi;1906;0;m;m;Italia;Italia;Trieste;;studente universitario;informatico;Gaetano;;repubblicano;informatico italiano;20;
R06448;Q3750561;umano;Francesco Rossi;Francesco Rossi;1906;1865;m;m;Italia;Regno d'Italia;Trieste;Paganica;studente universitario;militare;Gaetano;;repubblicano;militare italiano (1865-1917);20;
R06448;Q21587865;umano;Francesco Rossi;Francesco Rossi;1906;1868;m;m;Italia;Regno d'Italia;Trieste;Fossombrone;studente universitario;politico;Gaetano;;repubblicano;prefetto e politico italiano (1868-1943);20;
R06448;Q108287150;umano;Francesco Rossi;Francesco Rossi;1906;0;m;m;Italia;;Trieste;;studente universitario;;Gaetano;;repubblicano;agrimensore italiano;20;
C15984;Q767345;umano;Giuseppe Cossi;Giuseppe Cossiga;1912;1963;m;m;Italia;Italia;Pola;Sassari;autista;ingegnere|ingegnere aeronautico militare|politico;Antonio;Francesco;comunista;politico e ingegnere italiano;4;
M15125;Q39271641;umano;Antonio Morgan;Tony Morgan;1895;1949;m;m;Italia;Italia;Pola;Sant'Agata di Militello;agricoltore|spazzino;attore;Giovanni;;comunista;attore italiano;2;Antonio Morgan
M15125;Q100887699;umano;Antonio Morgan;Antonio Morgano;1895;1997;m;m;Italia;;Pola;;agricoltore|spazzino;cestista;Giovanni;;comunista;basketball player;2;
D06362;Q128981940;umano;Luigi Di Martino;Luigi Di Martino;1912;0;m;;Tunisia;;Goletta;;ebanista;ricercatore;Michelangelo;;socialista;Ricercatore, Autore;1;
S00061;Q16231524;umano;David Sabatini;David M. Sabatini;1890;1968;m;m;Italia;Stati Uniti d'America;Santa Sofia;New York;bracciante;biochimico|biologo|professore universitario;Alessandro;David;anarchico;biologist who discovered mTOR;6;David Sabatini
S00061;Q18411281;pagina di disambiguazione di un progetto Wikimedia per nomi di persona;David Sabatini;David Sabatini;1890;0;m;;Italia;;Santa Sofia;;bracciante;;Alessandro;;anarchico;pagina di disambiguazione di un progetto Wikimedia;6;
S00061;Q79495857;umano;David Sabatini;David Sabatini;1890;0;m;m;Italia;;Santa Sofia;;bracciante;economista;Alessandro;;anarchico;economist from Italy;6;
S00061;Q5799940;umano;David Sabatini;David D. Sabatini;1890;1931;m;m;Italia;Argentina;Santa Sofia;San Carlos de Bolívar;bracciante;biologo|medico|professore universitario;Alessandro;;anarchico;Argentinian physician and scientist;6;David Sabatini
S00061;Q48716241;;David Sabatini;Q48716241;1890;0;m;;Italia;;Santa Sofia;;bracciante;;Alessandro;;anarchico;;6;
S00061;Q125903947;;David Sabatini;Q125903947;1890;0;m;;Italia;;Santa Sofia;;bracciante;;Alessandro;;anarchico;;6;
S00826;Q108753841;umano;Ignazio Salis;Ignazio Salis;1876;1088;m;m;Italia;Regno d'Italia;Ozieri;;studente;editore|giornalista;Vincenzo;;socialista;editore e giornalista italiano;1;
S06006;Q110780933;umano;Ferdinando Serri;Ferdinando Serri;1878;1916;m;m;Italia;Italia|Regno d'Italia;Macerata;;sarto;dermatologo|professore universitario;Pacifico;;anarchico;dermatologo italiano (1916-1995);2;
S06006;Q70199786;;Ferdinando Serri;Q70199786;1878;0;m;;Italia;;Macerata;;sarto;;Pacifico;;anarchico;;2;
S03383;Q2404486;umano;Giovanni Scaia;Giovanni Scajario;1907;1726;m;m;Italia;;Strada;Asiago;muratore;pittore;Silvio;;;Italian painter (1726-1792);1;Giovanni Scaiaro
D03815;Q133750928;umano;Giuseppe Deabate;Q133750928;1864;1857;m;m;Italia;;San Germano Vercellese;;;;Teonesto;;;;1;
Z01621;Q3904337;umano;Pietro Zardin;Pietro Zardini;1894;1907;m;m;Italia;Italia|Regno d'Italia;Fonzaso;L'Aquila;muratore;attore;Giuseppe;;comunista;attore italiano;3;
R02398;Q16268693;umano;Giovanni Renzi;Giovanni Renzi;1873;1919;m;m;Italia;Italia;San Gimignano;Ancona;bracciante;calciatore;Domenico;;socialista;calciatore italiano;2;
R02398;Q132989722;umano;Giovanni Renzi;Q132989722;1873;1963;m;;Italia;;San Gimignano;;bracciante;architetto;Domenico;;socialista;;2;
B18172;Q5565361;umano;Giuseppe Brunelli;Giuseppe Brunelli;1886;1922;m;m;Italia;Italia|Regno d'Italia;San Giorgio di Piano;Milano;muratore;poeta|scrittore|traduttore;Pietro;;antifascista;poeta italiano;1;
R05681;Q3081067;umano;Francesco Rosa;Francesco Rosa;1901;1638;m;m;Italia;;San Giovanni in Persiceto;Roma;operaio;pittore;Paolo;;antifascista;Italian painter (1638-1687);14;
R05681;Q39070218;umano;Francesco Rosa;Francesco Rosa;1901;0;m;m;Italia;;San Giovanni in Persiceto;;operaio;sacerdote cattolico|vescovo cattolico;Paolo;;antifascista;vescovo cattolico;14;
R05681;Q3081064;pagina di disambiguazione di un progetto Wikimedia per nomi di persona;Francesco Rosa;Francesco Rosa;1901;0;m;;Italia;;San Giovanni in Persiceto;;operaio;;Paolo;;antifascista;pagina di disambiguazione di un progetto Wikimedia;14;
