gold;cpc;qid;nom1;nom2;nac1;nac2;sex1;sex2;pais1;pais2;ciudad1;ciudad2;oficio1;oficio2;padre1;padre2;afil1;afil2;num_ent;alias;eval_birth;eval_name;eval_sex;eval_country;eval_city;eval_father;eval_occupation;eval_affiliation;eval_city2
No;R03009;Q3849033;Mario Ricci;Mario Ricci;1907;1908;m;m;Italia;Italia|Regno d'Italia;Sant'Arcangelo di Romagna;Pavullo nel Frignano;manovale|muratore;partigiano|politico;Luigi;;comunista;partigiano e politico italiano;17;;0;1;1;1;-1;0;-1;0;0.4864864864864865
Yes;R04035;Q58230629;Domenico Rivalta;Domenico Rivalta;1910;1910;m;m;Italia;Regno d'Italia;Imola;Imola;pollivendolo;militare|partigiano;Giuseppe;;comunista;partigiano italiano;1;;1;1;1;1;1;0;-1;0;1.0
No;R04229;Q15981328;Antonio Rizzo;Antonio Rizzo;1886;1885;m;m;Italia;Italia|Regno d'Italia;Noventa Di Piave;Caccuri;bracciante;;Francesco;;socialista;generale italiano;13;;0;1;1;1;-1;0;0;0;0.2857142857142857
No;R05195;Q56255204;Pietro Romano;Pietro Romano;1906;1907;m;m;Italia;Canada;Caltanissetta;Napoli;dolciere;French horn player;Rosario;;comunista;cornista candese (1907-1966);10;;0;1;1;-1;-1;0;-1;0;0.5
No;R06421;Q18716041;Giacomo Rossi;Giacomo Rossi;1882;1882;m;m;Italia;Italia;Cuasso al Monte;;muratore;tiratore;Giuseppe;;anarchico;tiratore italiano;26;;1;1;1;1;0;0;-1;0;0.0
No;R06561;Q15436246;Giuseppe Rossi;Giuseppe Rossi;1887;1887;m;m;Italia;Italia|Regno d'Italia;Lerma;;cuoco e sguattero|proprietario albergo;sacerdote cattolico|vescovo cattolico;Pietro;;anarchico;vescovo italiano (1887-1983);20;;1;1;1;1;0;0;-1;0;0.0
No;R06829;Q769450;Ernesto Rossi;Angelo Tasca;1892;1892;m;m;Italia;Francia|Italia|Regno d'Italia;Ziano;Moretta;contadino;giornalista|politico|scrittore politico|storico;Pasquale;;socialista;politico italiano (1892-1960);11;Ernesto Rossi;1;1;1;1;-1;0;-1;0;0.33333333333333337
No;R06832;Q133836737;Tullio Rossi;Tullio Trotter;1893;1893;m;m;Italia;Regno d'Italia;Follo;Rovereto;bracciante|muratore;soldato;Leopoldo;;comunista;soldato nella prima guerra mondiale, laureato all'istituto Cesare Alfieri di Firenze;8;Tullio Rossi;1;1;1;1;-1;0;-1;0;0.33333333333333337
No;S00062;Q3726046;Enrico Sabatini;Enrico Sabatini;1893;1894;m;m;Italia;Italia|Regno d'Italia;Chiaravalle;Roccaraso;falegname;compositore|direttore d'orchestra;Eugenio;;comunista;musicista italiano;1;;0;1;1;1;-1;0;-1;0;0.4
Yes;S00277;Q19753578;Walter Sacchetti;Walter Sacchetti;1918;1918;m;m;Italia;Italia|Regno d'Italia;Reggio Emilia;Reggio Emilia;contadino;partigiano|politico;Armando;;comunista;politico, partigiano e sindacalista italiano;1;;1;1;1;1;1;0;-1;0;1.0
Yes;S00420;Q54886882;Gustavo Sacerdote;Gustavo Sacerdote;1867;1867;m;m;Italia;Italia|Regno d'Italia;Moncalvo;Moncalvo;professore|pubblicista;giornalista pubblicista|lessicografo|letterato|linguista;Abramo giuseppe;;socialista;"1867-1948; Pubblicista, letterato e miltante socialista. Traduttore dal tedesco, corrispondente dell'Avanti da Berlino con lo pseudonimo ""Genosse"". Nato a Moncalvo Monferrato (AL) e morto a Roma.";3;;1;1;1;1;1;0;1;1;1.0
Yes;S01957;Q63927737;Giusto Santin;Giusto Santin;1871;1871;m;m;Italia;Regno d'Italia;Forno Di Zoldo;Forno di Zoldo;impiegato privato|operaio;politico|sindacalista;Giovanni;;socialista;politico italiano;1;;1;1;1;1;1;0;-1;0;0.9285714285714286
No;S02205;Q126877093;Luigi Santucci;Luigi Santucci;1886;1886;m;m;Italia;;Samarate;;musicante;critico letterario|saggista|scrittore;Sempliciano;;anarchico;writer (1886-1976);3;;1;1;1;0;0;0;-1;0;0.0
No;S02327;Q94686597;Secondo Saracco;Secondo Saracco;1902;1902;m;m;Italia;;Asti;;fabbro ferraio;;Domenico;;comunista;;1;;1;1;1;0;0;0;0;0;0.0
No;S03086;Q26707876;Umberto Savoia;Umberto Savoja;1884;1884;m;m;Italia;Italia|Regno d'Italia;Milano;Torino;ingegnere|professore;aviatore;Giuseppe;;antifascista;pioniere dell'aviazione, generale, progettista di aeroplani e pilota italiano (1884-1954);2;Umberto Savoia;1;1;1;1;-1;0;-1;0;0.6666666666666667
Yes;S04241;Q3610295;Alessandro Schiavi;Alessandro Schiavi;1872;1872;m;m;Italia;Italia|Regno d'Italia;Cesenatico;Cesenatico;;giornalista|politico|scrittore;Aristodemo;;socialista;giornalista, scrittore e sociologo italiano (1872-1965);2;;1;1;1;1;1;0;0;0;1.0
Yes;S05703;Q3768130;Giovanni Serbandini;Giovanni Serbandini;1912;1912;m;m;Italia;Italia|Regno d'Italia;Chiavari;Chiavari;professore di lettere;partigiano|politico;Amedeo;;comunista;politico italiano (1912-1999);1;;1;1;1;1;1;0;-1;0;1.0
No;S05728;Q67211987;Bruno Seren;Bruno Sereni;1904;1905;m;m;Italia;Italia|Regno d'Italia;Mottalciata;Milano;cameriere;giornalista|scrittore;Giorgio;;comunista;giornalista, scrittore e antifascista italiano (1905-1986);4;;0;-1;1;1;-1;0;-1;0;0.5
No;S07277;Q3961275;Simone Simoni;Simone Simoni;1881;1880;m;m;Italia;Regno d'Italia;Valentano;Patrica;notaio;militare;Andrea;;antifascista;generale italiano;3;;0;1;1;1;-1;0;-1;0;0.4285714285714286
Yes;S08268;Q109877090;Romeo Soldi;Romeo Soldi;1870;1870;m;m;Italia;Italia|Regno d'Italia;Cremona;Cremona;dottore in giurisprudenza;economista|politico;Alessandro;;socialista;economista e politico italiano (1870-1959);1;;1;1;1;1;1;0;-1;0;1.0
Yes;S08756;Q124362220;Vittorio Sossi;Viktor Sosič;1915;1915;m;m;Italia;Italia;Trieste;Opicina;studente;ingegnere|insegnante;Vittorio;;comunista;;1;Vittorio Sossi;1;1;1;1;-1;0;-1;0;0.19999999999999996
Yes;S08782;Q3771469;Giuseppe Sotgiu;Giuseppe Sotgiu;1902;1902;m;m;Italia;Italia|Regno d'Italia;Terranova Pausania;Olbia;avvocato;avvocato|politico;Antonio;;socialista;avvocato, giurista e politico italiano (1902-1980);2;;1;1;1;1;-1;0;1;0;0.5714285714285714
Yes;S09009;Q104713967;Giovanni Spadoni;Giovanni Spadoni;1866;1866;m;m;Italia;Regno d'Italia;Macerata;Macerata;bibliotecario;bibliotecario;Pacifico;;repubblicano;bibliotecario italiano (1866-1940);1;;1;1;1;1;1;0;1;0;1.0
No;T01211;Q124129608;Torquato Tassi;Torquato Tassi;1878;1879;m;m;Italia;;Sassoferrato;;muratore;;Giovanni;;socialista;sacerdote salesiano, musico (1879-1957);1;;0;1;1;0;0;0;0;0;0.0
Yes;T01237;Q63860315;Francesco Tassinari;Francesco Tassinari;1877;1877;m;m;Italia;Regno d'Italia;Bassignana;Bassignana;deputato ex|negoziante vini;politico;Luigi;;socialista;politico italiano;3;;1;1;1;1;1;0;1;0;1.0
Yes;T01805;Q3665547;Cesare Teofilato;Cesare Teofilato;1881;1881;m;m;Italia;Italia|Regno d'Italia;Francavilla Fontana;Francavilla Fontana;insegnante;bibliotecario|politico|storico;Tommaso;;socialista;storico, bibliotecario e politico italiano (1881-1961);1;;1;1;1;1;1;0;-1;0;1.0
Yes;T04790;Q3874502;Nello Traquandi;Nello Traquandi;1898;1898;m;m;Italia;Italia|Regno d'Italia;Firenze;Firenze;impiegato ferroviario ex;politico;Francesco;;repubblicano;politico e antifascista italiano;1;;1;1;1;1;1;0;-1;0;1.0
No;T05279;Q133714347;Alceste Trionfi;Q133714347;1869;1869;m;;Italia;;Spoleto;;impiegato ferroviario;;Augusto;;anarchico;;1;;1;-1;0;0;0;0;0;0;0.0
Yes;V01853;Q65055475;Flavio Venanzi;Flavio Venanzi;1882;1882;m;m;Italia;Regno d'Italia;Roma;Roma;pubblicista;scrittore;Flavio;;socialista;;1;;1;1;1;1;1;0;-1;0;1.0
Yes;V02350;Q3939218;Roberto Veratti;Roberto Veratti;1902;1902;m;m;Italia;Regno d'Italia;Milano;Milano;avvocato;avvocato|partigiano;Carlo;;socialista;avvocato e partigiano italiano;1;;1;1;1;1;1;0;1;0;1.0
Yes;Z01198;Q11084667;Milos Zanko;Miloš Žanko;1915;1915;m;m;Yugoslavia;Jugoslavia|Croazia;Spalato;Spalato;avvocato;commissario politico militare;Giuseppe;;comunista;;1;;1;1;1;1;1;0;-1;0;1.0
No;Z03033;Q83688;Francesco Zucchet;Francesco Zucchetti;1903;1902;m;m;Italia;Italia|Regno d'Italia;San Vito al Tagliamento;Cernusco sul Naviglio;operaio motorista;ciclista;Giuseppe;;antifascista;pistard e ciclista su strada italiano;1;;0;-1;1;1;-1;0;-1;0;0.4864864864864865
